=== DEBUG SESSION START: 2025年 11月 30日 日曜日 14:25:14     ===
Session initialized
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T14:38:03+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t144613
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T14:46:55+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t145226
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T14:53:14+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t112545
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:26:30+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t113229
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:33:07+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t113641
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:37:16+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t114237
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:43:19+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t114656
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:47:37+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t115201
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:52:41+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t115551
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T11:56:35+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t120901
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T12:10:13+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t122144
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T12:22:42+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t124932
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T12:50:17+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t132149
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T13:22:32+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t133025
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T13:31:12+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t133547
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T13:36:29+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t133945
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-30T13:40:29+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251130t134300
TRAFFIC_SPLIT: 1.00
LAST_DEPLOYED: 2025-11-30T13:43:46+09:00
SERVING_STATUS: SERVING
  % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed
  0     0   0     0   0     0     0     0  --:--:-- --:--:-- --:--:--     0100   477   0   477   0     0  1300     0  --:--:-- --:--:-- --:--:--  1310<html>
<head>

<title>Redirect Page</title>
<meta http-equiv="expires" content="-1">
<meta http-equiv="pragma" content="no-cache">
<meta http-equiv="cache-control" content="no-cache">
<meta content="text/html; charset=utf-8" http-equiv="Content-Type">
<SCRIPT language=JavaScript>
function init()
{ 
	top.location.href="http://192.168.1.10/top_wizard_inet_start.html?fr=1;dns=0;"; 
} 
</SCRIPT>
</head>
<body onload='init();'>
<table><tr><td></td></tr></table>
</body>
</html>

curl: (56) schannel: server closed abruptly (missing close_notify)
2025-11-30 02:44:59 test-service[20251130t114237]  "HEAD /test HTTP/1.1" 500
2025-11-30 02:44:59 test-service[20251130t114237]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 02:45:00 test-service[20251130t114237]  [2025-11-30 02:45:00 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 02:45:00 test-service[20251130t114237]  [2025-11-30 02:45:00 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 02:45:00 test-service[20251130t114237]  [2025-11-30 02:45:00 +0000] [11] [INFO] Using worker: sync
2025-11-30 02:45:00 test-service[20251130t114237]  [2025-11-30 02:45:00 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 02:45:02 test-service[20251130t114237]  ERROR:main:Exception on /test [HEAD]
2025-11-30 02:45:02 test-service[20251130t114237]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 170, in test      return index_route()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 16, in index_route      return get_handler()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 35, in get_handler      tmpl_val["shinchiku"] = getdatabyID(593326)                              ^^^^^^^^^^^^^^^^^^^    File "/workspace/application/index.py", line 62, in getdatabyID      lst.append(bkl.refbk.makedata("web"))                 ^^^^^^^^^^^^^^^^^^  AttributeError: 'Key' object has no attribute 'makedata'
2025-11-30 02:47:52 test-service[20251130t114237]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 02:47:53 test-service[20251130t114237]  [2025-11-30 02:47:53 +0000] [11] [INFO] Handling signal: term
2025-11-30 02:47:53 test-service[20251130t114237]  [2025-11-30 02:47:53 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 02:47:54 test-service[20251130t114237]  [2025-11-30 02:47:54 +0000] [11] [INFO] Shutting down: Master
2025-11-30 02:49:19 test-service[20251130t114656]  "HEAD /test HTTP/1.1" 500
2025-11-30 02:49:19 test-service[20251130t114656]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 02:49:20 test-service[20251130t114656]  [2025-11-30 02:49:20 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 02:49:20 test-service[20251130t114656]  [2025-11-30 02:49:20 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 02:49:20 test-service[20251130t114656]  [2025-11-30 02:49:20 +0000] [11] [INFO] Using worker: sync
2025-11-30 02:49:20 test-service[20251130t114656]  [2025-11-30 02:49:20 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 02:49:23 test-service[20251130t114656]  ERROR:main:Exception on /test [HEAD]
2025-11-30 02:49:23 test-service[20251130t114656]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 170, in test      return index_route()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 16, in index_route      return get_handler()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 47, in get_handler      return render_template('index.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 151, in render_template      template = app.jinja_env.get_or_select_template(template_name_or_list)                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1087, in get_or_select_template      return self.get_template(template_name_or_list, parent, globals)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1016, in get_template      return self._load_template(name, globals)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 975, in _load_template      template = self.loader.load(self, name, self.make_globals(globals))                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/loaders.py", line 138, in load      code = environment.compile(source, name, filename)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 771, in compile      self.handle_exception(source=source_hint)    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/index.html", line 49, in template      <td align="left" valign="top"><p class="class-title-article-top"><a href="{{data.bkdatauri}}{{bkdata.bkdata.bkID}}" >【{{bkdata.bkdata.bkID}}】{{bkdata.bkdata.ttmnmi|default:""}}</a></p>      ^^^^^^^^^^^^^^^^^^^^^^^^^  jinja2.exceptions.TemplateSyntaxError: expected token 'end of print statement', got ':'
2025-11-30 02:53:01 test-service[20251130t114656]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 02:53:02 test-service[20251130t114656]  [2025-11-30 02:53:02 +0000] [11] [INFO] Handling signal: term
2025-11-30 02:53:02 test-service[20251130t114656]  [2025-11-30 02:53:02 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 02:53:02 test-service[20251130t114656]  [2025-11-30 02:53:02 +0000] [11] [INFO] Shutting down: Master
2025-11-30 02:54:29 test-service[20251130t115201]  "HEAD /test HTTP/1.1" 500
2025-11-30 02:54:29 test-service[20251130t115201]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 02:54:30 test-service[20251130t115201]  [2025-11-30 02:54:30 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 02:54:30 test-service[20251130t115201]  [2025-11-30 02:54:30 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 02:54:30 test-service[20251130t115201]  [2025-11-30 02:54:30 +0000] [11] [INFO] Using worker: sync
2025-11-30 02:54:30 test-service[20251130t115201]  [2025-11-30 02:54:30 +0000] [15] [INFO] Booting worker with pid: 15
2025-11-30 02:54:33 test-service[20251130t115201]  ERROR:main:Exception on /test [HEAD]
2025-11-30 02:54:33 test-service[20251130t115201]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 170, in test      return index_route()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 16, in index_route      return get_handler()             ^^^^^^^^^^^^^    File "/workspace/application/index.py", line 47, in get_handler      return render_template('index.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/index.html", line 325, in top-level template code      専有面積/{{bkdata.bkdata.snyuMnskSyuBbnMnsk2|round(2)}}      ^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/filters.py", line 1182, in do_round      return round(value, precision)             ^^^^^^^^^^^^^^^^^^^^^^^  TypeError: type str doesn't define __round__ method
2025-11-30 02:56:52 test-service[20251130t115201]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 02:56:53 test-service[20251130t115201]  [2025-11-30 02:56:53 +0000] [11] [INFO] Handling signal: term
2025-11-30 02:56:53 test-service[20251130t115201]  [2025-11-30 02:56:53 +0000] [15] [INFO] Worker exiting (pid: 15)
2025-11-30 02:56:53 test-service[20251130t115201]  [2025-11-30 02:56:53 +0000] [11] [INFO] Shutting down: Master
2025-11-30 02:57:59 test-service[20251130t115551]  "HEAD /test HTTP/1.1" 200
2025-11-30 02:57:59 test-service[20251130t115551]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 02:58:00 test-service[20251130t115551]  [2025-11-30 02:58:00 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 02:58:00 test-service[20251130t115551]  [2025-11-30 02:58:00 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 02:58:00 test-service[20251130t115551]  [2025-11-30 02:58:00 +0000] [11] [INFO] Using worker: sync
2025-11-30 02:58:00 test-service[20251130t115551]  [2025-11-30 02:58:00 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 02:58:31 test-service[20251130t115551]  "GET /test/ HTTP/1.1" 200
2025-11-30 03:01:03 test-service[20251130t115551]  "GET /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 404
2025-11-30 03:05:15 test-service[20251130t115551]  "HEAD /test/login HTTP/1.1" 404
2025-11-30 03:10:15 test-service[20251130t115551]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 03:10:16 test-service[20251130t115551]  [2025-11-30 03:10:16 +0000] [11] [INFO] Handling signal: term
2025-11-30 03:10:16 test-service[20251130t115551]  [2025-11-30 03:10:16 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 03:10:16 test-service[20251130t115551]  [2025-11-30 03:10:16 +0000] [11] [INFO] Shutting down: Master
2025-11-30 03:11:36 test-service[20251130t120901]  "HEAD /test/login HTTP/1.1" 500
2025-11-30 03:11:36 test-service[20251130t120901]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 03:11:36 test-service[20251130t120901]  [2025-11-30 03:11:36 +0000] [12] [INFO] Starting gunicorn 21.2.0
2025-11-30 03:11:36 test-service[20251130t120901]  [2025-11-30 03:11:36 +0000] [12] [INFO] Listening at: http://0.0.0.0:8081 (12)
2025-11-30 03:11:36 test-service[20251130t120901]  [2025-11-30 03:11:36 +0000] [12] [INFO] Using worker: sync
2025-11-30 03:11:36 test-service[20251130t120901]  [2025-11-30 03:11:36 +0000] [15] [INFO] Booting worker with pid: 15
2025-11-30 03:11:38 test-service[20251130t120901]  [2025-11-30 03:11:38,561] ERROR in app: Exception on /test/login [HEAD]
2025-11-30 03:11:38 test-service[20251130t120901]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends "applicationpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: applicationpagebase.html
2025-11-30 03:16:38 test-service[20251130t120901]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 03:16:39 test-service[20251130t120901]  [2025-11-30 03:16:39 +0000] [12] [INFO] Handling signal: term
2025-11-30 03:16:39 test-service[20251130t120901]  [2025-11-30 03:16:39 +0000] [15] [INFO] Worker exiting (pid: 15)
2025-11-30 03:16:39 test-service[20251130t120901]  [2025-11-30 03:16:39 +0000] [12] [INFO] Shutting down: Master
2025-11-30 03:18:09 test-service[20251130t120901]  "GET /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 500
2025-11-30 03:18:09 test-service[20251130t120901]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 03:18:09 test-service[20251130t120901]  [2025-11-30 03:18:09 +0000] [10] [INFO] Starting gunicorn 21.2.0
2025-11-30 03:18:09 test-service[20251130t120901]  [2025-11-30 03:18:09 +0000] [10] [INFO] Listening at: http://0.0.0.0:8081 (10)
2025-11-30 03:18:09 test-service[20251130t120901]  [2025-11-30 03:18:09 +0000] [10] [INFO] Using worker: sync
2025-11-30 03:18:09 test-service[20251130t120901]  [2025-11-30 03:18:09 +0000] [13] [INFO] Booting worker with pid: 13
2025-11-30 03:18:10 test-service[20251130t120901]  [2025-11-30 03:18:10,553] ERROR in app: Exception on /test/login [GET]
2025-11-30 03:18:10 test-service[20251130t120901]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends "applicationpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: applicationpagebase.html
2025-11-30 03:19:13 test-service[20251130t120901]  "GET /test/login HTTP/1.1" 500
2025-11-30 03:19:13 test-service[20251130t120901]  [2025-11-30 03:19:13,942] ERROR in app: Exception on /test/login [GET]
